match_number,matchday,date,datetime_utc,home_team_id,away_team_id,home_goals,away_goals,xg_home,xg_away,played
1,1,2026-08-28,2026-08-28T18:30:00Z,1,2,5,1,4.079,1.25,True
2,1,2026-08-29,2026-08-29T13:30:00Z,3,4,3,2,1.4,2.615,True
3,1,2026-08-29,2026-08-29T13:30:00Z,5,6,3,2,2.314,1.923,True
4,1,2026-08-29,2026-08-29T13:30:00Z,7,8,3,3,2.283,2.119,True
5,1,2026-08-29,2026-08-29T13:30:00Z,9,10,0,0,1.549,0.691,True
6,1,2026-08-29,2026-08-29T13:30:00Z,11,12,3,0,3.765,1.234,True
7,1,2026-08-29,2026-08-29T16:30:00Z,13,14,2,0,1.313,1.106,True
8,1,2026-08-30,2026-08-30T13:30:00Z,15,16,4,1,2.385,0.949,True
9,1,2026-08-30,2026-08-30T15:30:00Z,17,18,3,0,5.536,1.837,True
10,2,2026-09-04,2026-09-04T18:30:00Z,2,5,4,1,3.522,2.858,True
11,2,2026-09-05,2026-09-05T13:30:00Z,10,15,0,1,0.733,1.172,True
12,2,2026-09-05,2026-09-05T13:30:00Z,16,11,3,1,0.854,1.582,True
13,2,2026-09-05,2026-09-05T13:30:00Z,12,3,3,4,2.888,3.032,True
14,2,2026-09-05,2026-09-05T13:30:00Z,4,7,4,0,3.392,0.25,True
15,2,2026-09-05,2026-09-05T13:30:00Z,6,13,2,3,2.166,2.025,True
16,2,2026-09-05,2026-09-05T16:30:00Z,18,1,0,0,0.251,2.054,True
17,2,2026-09-06,2026-09-06T13:30:00Z,14,9,0,5,0.257,3.28,True
18,2,2026-09-06,2026-09-06T15:30:00Z,8,17,1,4,2.51,1.445,True
19,3,2026-09-11,2026-09-11T18:30:00Z,7,18,1,3,1.918,3.218,True
20,3,2026-09-12,2026-09-12T13:30:00Z,9,8,1,3,2.242,2.159,True
21,3,2026-09-12,2026-09-12T13:30:00Z,17,4,2,2,0.843,1.886,True
22,3,2026-09-12,2026-09-12T13:30:00Z,15,12,5,0,2.149,0.268,True
23,3,2026-09-12,2026-09-12T13:30:00Z,6,2,2,1,2.957,2.67,True
24,3,2026-09-12,2026-09-12T13:30:00Z,13,10,3,0,3.145,0.311,True
25,3,2026-09-12,2026-09-12T16:30:00Z,5,16,1,1,1.613,1.182,True
26,3,2026-09-13,2026-09-13T13:30:00Z,11,14,5,0,2.468,0.508,True
27,3,2026-09-13,2026-09-13T15:30:00Z,3,1,1,2,1.03,3.06,True
28,4,2026-09-18,2026-09-18T18:30:00Z,1,7,,,,,False
29,4,2026-09-19,2026-09-19T13:30:00Z,16,17,,,,,False
30,4,2026-09-19,2026-09-19T13:30:00Z,14,5,,,,,False
31,4,2026-09-19,2026-09-19T13:30:00Z,12,9,,,,,False
32,4,2026-09-19,2026-09-19T13:30:00Z,8,15,,,,,False
33,4,2026-09-19,2026-09-19T16:30:00Z,2,13,,,,,False
34,4,2026-09-20,2026-09-20T13:30:00Z,4,11,,,,,False
35,4,2026-09-20,2026-09-20T15:30:00Z,18,3,,,,,False
36,4,2026-09-20,2026-09-20T17:30:00Z,10,6,,,,,False
37,5,2026-10-09,2026-10-09T00:00:00Z,10,2,,,,,False
38,5,2026-10-09,2026-10-09T00:00:00Z,5,12,,,,,False
39,5,2026-10-09,2026-10-09T00:00:00Z,7,3,,,,,False
40,5,2026-10-09,2026-10-09T00:00:00Z,9,4,,,,,False
41,5,2026-10-09,2026-10-09T00:00:00Z,17,1,,,,,False
42,5,2026-10-09,2026-10-09T00:00:00Z,15,18,,,,,False
43,5,2026-10-09,2026-10-09T00:00:00Z,6,14,,,,,False
44,5,2026-10-09,2026-10-09T00:00:00Z,11,8,,,,,False
45,5,2026-10-09,2026-10-09T00:00:00Z,13,16,,,,,False
46,6,2026-10-16,2026-10-16T00:00:00Z,3,17,,,,,False
47,6,2026-10-16,2026-10-16T00:00:00Z,18,9,,,,,False
48,6,2026-10-16,2026-10-16T00:00:00Z,16,10,,,,,False
49,6,2026-10-16,2026-10-16T00:00:00Z,14,2,,,,,False
50,6,2026-10-16,2026-10-16T00:00:00Z,12,6,,,,,False
51,6,2026-10-16,2026-10-16T00:00:00Z,7,13,,,,,False
52,6,2026-10-16,2026-10-16T00:00:00Z,8,5,,,,,False
53,6,2026-10-16,2026-10-16T00:00:00Z,4,15,,,,,False
54,6,2026-10-16,2026-10-16T00:00:00Z,1,11,,,,,False
55,7,2026-10-23,2026-10-23T00:00:00Z,10,14,,,,,False
56,7,2026-10-23,2026-10-23T00:00:00Z,5,18,,,,,False
57,7,2026-10-23,2026-10-23T00:00:00Z,9,16,,,,,False
58,7,2026-10-23,2026-10-23T00:00:00Z,17,7,,,,,False
59,7,2026-10-23,2026-10-23T00:00:00Z,15,1,,,,,False
60,7,2026-10-23,2026-10-23T00:00:00Z,6,4,,,,,False
61,7,2026-10-23,2026-10-23T00:00:00Z,2,12,,,,,False
62,7,2026-10-23,2026-10-23T00:00:00Z,11,3,,,,,False
63,7,2026-10-23,2026-10-23T00:00:00Z,13,8,,,,,False
64,8,2026-10-30,2026-10-30T00:00:00Z,3,9,,,,,False
65,8,2026-10-30,2026-10-30T00:00:00Z,18,11,,,,,False
66,8,2026-10-30,2026-10-30T00:00:00Z,16,6,,,,,False
67,8,2026-10-30,2026-10-30T00:00:00Z,12,10,,,,,False
68,8,2026-10-30,2026-10-30T00:00:00Z,7,5,,,,,False
69,8,2026-10-30,2026-10-30T00:00:00Z,17,15,,,,,False
70,8,2026-10-30,2026-10-30T00:00:00Z,8,14,,,,,False
71,8,2026-10-30,2026-10-30T00:00:00Z,4,2,,,,,False
72,8,2026-10-30,2026-10-30T00:00:00Z,1,13,,,,,False
73,9,2026-11-06,2026-11-06T00:00:00Z,10,8,,,,,False
74,9,2026-11-06,2026-11-06T00:00:00Z,5,4,,,,,False
