id,team_name,code
1,Manchester United FC,MAN
2,Fulham FC,FUL
3,Ipswich Town FC,IPS
4,Liverpool FC,LIV
5,Arsenal FC,ARS
6,Wolverhampton Wanderers FC,WOL
7,Everton FC,EVE
8,Brighton & Hove Albion FC,B&H
9,Newcastle United FC,NEW
10,Southampton FC,SOU
11,Nottingham Forest FC,NOT
12,AFC Bournemouth,BOU
13,West Ham United FC,WHU
14,Aston Villa FC,AST
15,Brentford FC,BRE
16,Crystal Palace FC,CRY
17,Chelsea FC,CHE
18,Manchester City FC,MA1
19,Leicester City FC,LEI
20,Tottenham Hotspur FC,TOT
