match_number,matchday,date,home_team_id,away_team_id,home_goals,away_goals,xg_home,xg_away,played
1,1,2024-08-15,1,2,1,1,,,True
2,1,2024-08-15,3,4,1,1,,,True
3,1,2024-08-16,5,6,2,1,,,True
4,1,2024-08-16,7,8,2,2,,,True
5,1,2024-08-17,9,10,1,1,,,True
6,1,2024-08-17,11,12,1,2,,,True
7,1,2024-08-18,13,14,1,2,,,True
8,1,2024-08-18,15,16,1,1,,,True
9,1,2024-08-19,17,18,1,0,,,True
10,1,2024-08-19,19,20,2,2,,,True
11,2,2024-08-23,5,11,3,1,,,True
12,2,2024-08-23,8,19,1,2,,,True
13,2,2024-08-24,9,15,1,0,,,True
14,2,2024-08-24,12,1,2,1,,,True
15,2,2024-08-24,2,14,0,0,,,True
16,2,2024-08-24,18,13,0,1,,,True
17,2,2024-08-25,16,17,3,0,,,True
18,2,2024-08-25,10,7,2,1,,,True
19,2,2024-08-25,6,3,0,0,,,True
20,2,2024-08-25,20,4,3,0,,,True
21,3,2024-08-26,19,5,4,3,,,True
22,3,2024-08-27,15,8,0,0,,,True
23,3,2024-08-27,14,12,1,2,,,True
24,3,2024-08-28,1,11,1,0,,,True
25,3,2024-08-28,17,10,0,0,,,True
26,3,2024-08-28,13,6,1,2,,,True
27,3,2024-08-28,20,18,0,0,,,True
28,3,2024-08-29,4,9,4,0,,,True
29,3,2024-08-29,7,16,1,1,,,True
30,4,2024-08-31,12,17,7,0,,,True
31,4,2024-08-31,1,20,0,1,,,True
32,4,2024-08-31,18,14,2,1,,,True
33,4,2024-08-31,10,15,0,1,,,True
34,4,2024-08-31,11,19,1,1,,,True
35,4,2024-09-01,9,5,3,2,,,True
36,4,2024-09-01,6,7,2,0,,,True
37,4,2024-09-01,8,4,0,2,,,True
38,4,2024-09-01,2,13,0,0,,,True
39,4,2024-09-01,16,3,2,0,,,True
40,5,2024-09-13,3,10,2,0,,,True
41,5,2024-09-14,15,19,1,2,,,True
42,5,2024-09-14,18,6,3,2,,,True
43,5,2024-09-14,8,2,1,0,,,True
44,5,2024-09-14,13,16,0,2,,,True
45,5,2024-09-15,5,17,3,1,,,True
46,5,2024-09-15,4,12,1,4,,,True
47,5,2024-09-15,7,1,2,3,,,True
48,5,2024-09-15,20,11,3,0,,,True
49,5,2024-09-16,14,9,3,1,,,True
50,7,2024-09-17,15,13,1,0,,,True
51,3,2024-09-18,3,2,2,1,,,True
52,7,2024-09-19,10,1,0,2,,,True
53,6,2024-09-20,6,8,2,1,,,True
54,6,2024-09-21,17,13,0,0,,,True
55,6,2024-09-21,9,7,2,1,,,True
56,6,2024-09-21,11,4,2,0,,,True
57,6,2024-09-21,16,18,4,1,,,True
58,6,2024-09-22,2,10,1,1,,,True
59,6,2024-09-22,1,5,3,1,,,True
60,6,2024-09-22,19,12,1,5,,,True
61,6,2024-09-22,14,20,1,1,,,True
62,6,2024-09-23,3,15,1,2,,,True
63,7,2024-09-24,8,17,2,1,,,True
64,7,2024-09-24,11,9,0,0,,,True
65,7,2024-09-24,16,6,3,2,,,True
66,7,2024-09-25,4,14,0,0,,,True
67,7,2024-09-25,12,2,1,0,,,True
68,7,2024-09-26,7,3,1,1,,,True
69,7,2024-09-26,18,19,1,2,,,True
70,7,2024-09-26,5,20,0,1,,,True
71,8,2024-09-27,17,15,1,2,,,True
72,8,2024-09-28,2,6,2,0,,,True
73,8,2024-09-28,14,10,1,1,,,True
74,8,2024-09-28,13,11,3,0,,,True
75,8,2024-09-28,9,12,4,2,,,True
76,8,2024-09-29,5,4,1,1,,,True
77,8,2024-09-29,1,8,1,1,,,True
78,8,2024-09-29,3,18,1,0,,,True
79,8,2024-09-29,20,16,1,1,,,True
80,8,2024-09-30,19,7,3,1,,,True
81,9,2024-10-04,10,11,0,0,,,True
82,9,2024-10-05,18,15,2,1,,,True
83,9,2024-10-05,2,9,1,1,,,True
84,9,2024-10-05,17,14,1,2,,,True
85,9,2024-10-05,7,5,0,1,,,True
86,9,2024-10-05,16,19,2,0,,,True
87,9,2024-10-06,4,1,2,1,,,True
88,9,2024-10-06,6,12,0,3,,,True
89,9,2024-10-06,8,3,1,0,,,True
90,9,2024-10-06,13,20,1,1,,,True
91,10,2024-10-18,6,17,2,3,,,True
92,10,2024-10-19,1,18,4,1,,,True
93,10,2024-10-19,9,3,1,2,,,True
94,10,2024-10-19,4,13,0,1,,,True
95,10,2024-10-19,5,16,1,2,,,True
96,10,2024-10-20,15,14,1,0,,,True
97,10,2024-10-20,20,10,3,1,,,True
98,10,2024-10-20,19,2,1,1,,,True
99,10,2024-10-20,12,8,5,1,,,True
100,10,2024-10-21,11,7,2,3,,,True
101,11,2024-10-25,18,8,0,2,,,True
102,11,2024-10-26,17,19,1,2,,,True
103,11,2024-10-26,14,6,1,0,,,True
104,11,2024-10-26,7,4,1,0,,,True
105,11,2024-10-26,16,12,0,4,,,True
106,11,2024-10-27,10,5,3,0,,,True
107,11,2024-10-27,2,11,1,1,,,True
108,11,2024-10-27,3,20,1,0,,,True
109,11,2024-10-27,13,9,0,2,,,True
110,11,2024-10-28,15,1,0,0,,,True
111,12,2024-11-01,6,15,1,0,,,True
112,12,2024-11-02,9,17,1,0,,,True
113,12,2024-11-02,4,10,4,3,,,True
114,12,2024-11-03,20,7,2,0,,,True
115,12,2024-11-03,12,18,3,1,,,True
116,12,2024-11-03,8,13,0,2,,,True
117,12,2024-11-03,1,3,1,1,,,True
118,12,2024-11-04,5,2,1,0,,,True
119,13,2024-11-08,14,7,1,3,,,True
120,13,2024-11-09,16,9,4,0,,,True
121,13,2024-11-09,19,6,3,0,,,True
122,13,2024-11-09,10,8,1,0,,,True
123,13,2024-11-10,3,5,2,2,,,True
124,13,2024-11-10,15,20,0,1,,,True
125,13,2024-11-10,2,4,0,1,,,True
126,13,2024-11-10,17,1,1,1,,,True
127,13,2024-11-10,13,12,1,0,,,True
128,14,2024-11-22,2,17,2,0,,,True
129,14,2024-11-23,11,3,4,2,,,True
130,14,2024-11-23,20,6,2,1,,,True
131,14,2024-11-23,7,15,2,3,,,True
132,14,2024-11-23,4,18,4,1,,,True
133,14,2024-11-23,5,12,2,2,,,True
134,14,2024-11-24,9,19,2,2,,,True
135,14,2024-11-24,8,14,1,0,,,True
136,14,2024-11-24,10,16,0,3,,,True
137,14,2024-11-24,1,13,1,0,,,True
138,15,2024-11-29,15,11,2,1,,,True
139,15,2024-11-30,12,7,1,2,,,True
140,15,2024-11-30,6,10,1,1,,,True
141,15,2024-11-30,18,5,3,1,,,True
142,15,2024-11-30,17,20,0,5,,,True
143,15,2024-12-01,19,4,2,2,,,True
144,15,2024-12-01,16,2,2,0,,,True
145,15,2024-12-01,14,1,1,2,,,True
146,15,2024-12-01,13,3,2,0,,,True
147,15,2024-12-02,8,9,1,1,,,True
148,19,2024-12-03,15,12,1,5,,,True
149,19,2024-12-04,1,16,2,1,,,True
150,16,2024-12-06,5,15,2,0,,,True
151,16,2024-12-07,7,17,2,1,,,True
152,16,2024-12-07,3,12,2,2,,,True
153,16,2024-12-07,11,14,0,1,,,True
154,16,2024-12-07,4,16,0,3,,,True
155,16,2024-12-08,10,13,0,3,,,True
156,16,2024-12-08,1,19,2,0,,,True
157,16,2024-12-08,9,6,2,2,,,True
158,16,2024-12-08,20,8,4,3,,,True
159,16,2024-12-09,2,18,1,0,,,True
160,17,2024-12-13,17,11,1,0,,,True
161,17,2024-12-14,18,9,0,0,,,True
162,17,2024-12-14,15,4,2,1,,,True
163,17,2024-12-14,8,5,1,0,,,True
164,17,2024-12-14,14,16,3,3,,,True
165,17,2024-12-15,20,2,1,0,,,True
166,17,2024-12-15,6,1,1,1,,,True
167,17,2024-12-15,19,3,1,2,,,True
168,17,2024-12-15,13,7,0,0,,,True
169,17,2024-12-15,12,10,0,1,,,True
170,12,2024-12-18,19,14,1,1,,,True
171,13,2024-12-18,18,11,1,1,,,True
172,18,2024-12-20,4,17,3,0,,,True
173,18,2024-12-21,2,15,0,1,,,True
174,18,2024-12-21,5,13,2,0,,,True
175,18,2024-12-21,9,1,1,2,,,True
176,18,2024-12-21,12,20,1,2,,,True
177,18,2024-12-22,11,6,2,2,,,True
178,18,2024-12-22,16,8,4,2,,,True
179,18,2024-12-22,10,19,2,5,,,True
180,18,2024-12-22,7,18,1,0,,,True
181,18,2024-12-22,3,14,1,1,,,True
182,12,2025-01-03,11,16,1,2,,,True
183,19,2025-01-10,14,5,2,1,,,True
184,19,2025-01-11,6,4,0,1,,,True
185,19,2025-01-11,17,3,1,0,,,True
186,19,2025-01-11,18,10,1,1,,,True
187,19,2025-01-11,8,11,1,1,,,True
188,19,2025-01-12,7,2,1,2,,,True
189,19,2025-01-12,20,9,1,0,,,True
190,19,2025-01-13,13,19,1,0,,,True
191,20,2025-01-17,18,17,2,1,,,True
192,20,2025-01-18,4,8,1,2,,,True
193,20,2025-01-18,10,20,1,0,,,True
194,20,2025-01-18,3,6,1,3,,,True
195,20,2025-01-18,2,12,1,1,,,True
196,20,2025-01-19,5,1,1,2,,,True
197,20,2025-01-19,16,7,4,1,,,True
198,20,2025-01-19,9,14,1,1,,,True
199,20,2025-01-19,11,13,1,0,,,True
200,20,2025-01-20,19,15,4,0,,,True
201,21,2025-01-24,7,9,1,1,,,True
202,21,2025-01-25,15,3,0,1,,,True
203,21,2025-01-25,20,19,1,1,,,True
204,21,2025-01-25,8,18,1,1,,,True
205,21,2025-01-25,17,16,0,3,,,True
206,21,2025-01-26,14,4,2,1,,,True
207,21,2025-01-26,13,2,0,3,,,True
208,21,2025-01-26,1,10,0,0,,,True
209,21,2025-01-26,12,11,7,1,,,True
210,21,2025-01-27,6,5,1,1,,,True
211,22,2025-01-31,10,14,0,1,,,True
212,22,2025-02-01,2,8,0,0,,,True
213,22,2025-02-01,19,17,5,1,,,True
214,22,2025-02-01,20,15,2,0,,,True
215,22,2025-02-01,18,16,1,0,,,True
216,22,2025-02-02,12,6,1,0,,,True
217,22,2025-02-02,11,5,2,1,,,True
218,22,2025-02-02,9,13,2,1,,,True
219,22,2025-02-02,3,1,2,2,,,True
220,22,2025-02-03,4,7,2,1,,,True
221,23,2025-02-07,14,17,1,0,,,True
222,23,2025-02-08,5,3,3,2,,,True
223,23,2025-02-08,1,4,3,0,,,True
224,23,2025-02-08,7,19,1,2,,,True
225,23,2025-02-08,16,20,1,1,,,True
226,23,2025-02-09,6,2,0,1,,,True
227,23,2025-02-09,11,10,2,0,,,True
228,23,2025-02-09,13,18,2,1,,,True
229,23,2025-02-09,8,12,1,4,,,True
230,23,2025-02-10,15,9,1,1,,,True
231,24,2025-02-14,4,2,1,2,,,True
232,24,2025-02-15,10,6,3,3,,,True
233,24,2025-02-15,9,16,1,1,,,True
234,24,2025-02-15,20,5,1,1,,,True
235,24,2025-02-15,19,11,1,1,,,True
236,24,2025-02-16,18,1,1,1,,,True
237,24,2025-02-16,17,8,0,4,,,True
238,24,2025-02-16,15,7,3,1,,,True
239,24,2025-02-16,3,13,3,0,,,True
240,24,2025-02-17,12,14,1,0,,,True
241,25,2025-02-21,5,9,1,0,,,True
242,25,2025-02-22,6,18,0,1,,,True
243,25,2025-02-22,14,19,0,1,,,True
244,25,2025-02-22,11,20,0,3,,,True
245,25,2025-02-22,7,12,0,2,,,True
246,25,2025-02-23,1,17,7,1,,,True
247,25,2025-02-23,16,4,2,0,,,True
248,25,2025-02-23,2,3,1,2,,,True
249,25,2025-02-23,13,10,3,0,,,True
250,25,2025-02-24,8,15,1,1,,,True
251,26,2025-02-28,17,7,1,1,,,True
252,26,2025-03-01,4,5,2,2,,,True
253,26,2025-03-01,14,8,1,1,,,True
254,26,2025-03-01,3,16,2,1,,,True
255,26,2025-03-01,20,1,1,0,,,True
256,26,2025-03-02,10,2,1,0,,,True
257,26,2025-03-02,12,13,4,0,,,True
258,26,2025-03-02,15,6,1,1,,,True
259,26,2025-03-02,9,11,3,3,,,True
260,27,2025-03-08,5,10,2,1,,,True
261,27,2025-03-08,6,19,1,0,,,True
262,27,2025-03-08,11,17,2,1,,,True
263,27,2025-03-09,2,20,2,1,,,True
264,27,2025-03-09,16,14,2,1,,,True
265,27,2025-03-09,1,15,1,1,,,True
266,27,2025-03-09,3,7,1,0,,,True
267,27,2025-03-09,13,8,0,1,,,True
268,27,2025-03-10,18,4,1,1,,,True
269,28,2025-03-14,7,6,2,2,,,True
270,28,2025-03-15,17,5,0,1,,,True
271,28,2025-03-15,15,18,2,1,,,True
272,28,2025-03-15,19,16,1,2,,,True
273,28,2025-03-15,4,11,1,1,,,True
274,28,2025-03-16,10,3,2,3,,,True
275,28,2025-03-16,8,1,0,1,,,True
276,28,2025-03-16,9,2,1,2,,,True
