match_number,matchday,date,datetime_utc,home_team_id,away_team_id,home_goals,away_goals,xg_home,xg_away,played
1,1,2026-08-21,2026-08-21T18:45:00Z,1,2,4,0,2.352,0.193,True
2,1,2026-08-22,2026-08-22T15:15:00Z,3,4,5,2,5.118,1.706,True
3,1,2026-08-22,2026-08-22T18:45:00Z,5,6,2,2,0.768,2.627,True
4,1,2026-08-22,2026-08-22T18:45:00Z,7,8,0,0,1.089,1.98,True
5,1,2026-08-22,2026-08-22T18:45:00Z,9,10,0,2,2.156,0.758,True
6,1,2026-08-22,2026-08-22T18:45:00Z,11,12,0,0,0.34,1.546,True
7,1,2026-08-23,2026-08-23T13:00:00Z,13,14,0,2,1.858,1.215,True
8,1,2026-08-23,2026-08-23T15:15:00Z,15,16,0,1,0.662,1.656,True
9,1,2026-08-23,2026-08-23T18:45:00Z,17,18,2,2,,,True
10,2,2026-08-28,2026-08-28T18:45:00Z,14,18,2,2,1.163,1.781,True
11,2,2026-08-29,2026-08-29T15:15:00Z,2,3,2,1,1.859,2.95,True
12,2,2026-08-29,2026-08-29T18:45:00Z,4,13,1,3,1.765,1.778,True
13,2,2026-08-29,2026-08-29T18:45:00Z,6,9,2,2,3.648,1.309,True
14,2,2026-08-29,2026-08-29T18:45:00Z,8,11,1,2,1.022,1.681,True
15,2,2026-08-29,2026-08-29T18:45:00Z,10,15,1,1,2.309,1.104,True
16,2,2026-08-30,2026-08-30T13:00:00Z,12,7,3,0,3.019,0.59,True
17,2,2026-08-30,2026-08-30T15:15:00Z,17,5,3,2,3.641,2.724,True
18,2,2026-08-30,2026-08-30T18:45:00Z,16,1,2,0,1.61,1.253,True
19,3,2026-09-03,2026-09-03T18:45:00Z,9,14,0,1,2.97,1.044,True
20,3,2026-09-04,2026-09-04T17:00:00Z,10,4,3,1,2.882,0.908,True
21,3,2026-09-04,2026-09-04T19:05:00Z,18,16,1,2,2.524,0.601,True
22,3,2026-09-05,2026-09-05T15:15:00Z,3,8,0,1,1.1,1.034,True
23,3,2026-09-05,2026-09-05T18:45:00Z,15,6,1,2,1.611,3.012,True
24,3,2026-09-05,2026-09-05T18:45:00Z,7,5,1,1,1.247,1.178,True
25,3,2026-09-06,2026-09-06T13:00:00Z,11,2,2,6,2.647,3.516,True
26,3,2026-09-06,2026-09-06T15:15:00Z,13,17,1,2,1.867,2.372,True
27,3,2026-09-06,2026-09-06T18:45:00Z,1,12,2,3,1.723,3.378,True
28,4,2026-09-11,2026-09-11T18:45:00Z,17,1,1,0,2.319,1.307,True
29,4,2026-09-12,2026-09-12T15:15:00Z,2,16,1,1,0.675,0.767,True
30,4,2026-09-12,2026-09-12T18:45:00Z,4,7,1,0,1.697,0.602,True
31,4,2026-09-12,2026-09-12T18:45:00Z,15,13,0,0,1.026,0.481,True
32,4,2026-09-12,2026-09-12T18:45:00Z,8,9,2,2,0.689,1.336,True
33,4,2026-09-12,2026-09-12T18:45:00Z,12,10,0,0,0.577,0.403,True
34,4,2026-09-13,2026-09-13T13:00:00Z,14,11,2,0,2.052,0.353,True
35,4,2026-09-13,2026-09-13T15:15:00Z,5,3,2,2,2.156,1.876,True
36,4,2026-09-13,2026-09-13T18:45:00Z,6,18,0,1,1.242,1.334,True
37,5,2026-09-18,2026-09-18T18:45:00Z,16,3,,,,,False
38,5,2026-09-19,2026-09-19T15:15:00Z,12,2,,,,,False
39,5,2026-09-19,2026-09-19T18:45:00Z,13,11,,,,,False
40,5,2026-09-19,2026-09-19T18:45:00Z,5,8,,,,,False
41,5,2026-09-19,2026-09-19T18:45:00Z,10,17,,,,,False
42,5,2026-09-19,2026-09-19T18:45:00Z,9,15,,,,,False
43,5,2026-09-20,2026-09-20T13:00:00Z,4,6,,,,,False
44,5,2026-09-20,2026-09-20T15:15:00Z,7,14,,,,,False
45,5,2026-09-20,2026-09-20T18:45:00Z,1,18,,,,,False
46,6,2026-10-09,2026-10-09T18:45:00Z,3,10,,,,,False
47,6,2026-10-10,2026-10-10T15:15:00Z,14,15,,,,,False
48,6,2026-10-10,2026-10-10T18:45:00Z,6,13,,,,,False
49,6,2026-10-10,2026-10-10T18:45:00Z,8,12,,,,,False
50,6,2026-10-10,2026-10-10T18:45:00Z,16,9,,,,,False
51,6,2026-10-10,2026-10-10T18:45:00Z,18,5,,,,,False
52,6,2026-10-11,2026-10-11T13:00:00Z,7,2,,,,,False
53,6,2026-10-11,2026-10-11T15:15:00Z,17,4,,,,,False
54,6,2026-10-11,2026-10-11T18:45:00Z,11,1,,,,,False
55,7,2026-10-16,2026-10-16T18:45:00Z,5,9,,,,,False
56,7,2026-10-17,2026-10-17T15:15:00Z,2,18,,,,,False
57,7,2026-10-17,2026-10-17T18:45:00Z,14,6,,,,,False
58,7,2026-10-17,2026-10-17T18:45:00Z,11,3,,,,,False
59,7,2026-10-18,2026-10-18T13:00:00Z,13,1,,,,,False
60,7,2026-10-18,2026-10-18T15:15:00Z,15,4,,,,,False
61,7,2026-10-18,2026-10-18T15:15:00Z,8,16,,,,,False
62,7,2026-10-18,2026-10-18T15:15:00Z,12,17,,,,,False
63,7,2026-10-18,2026-10-18T18:45:00Z,10,7,,,,,False
64,8,2026-10-23,2026-10-23T18:45:00Z,6,7,,,,,False
65,8,2026-10-24,2026-10-24T15:15:00Z,9,11,,,,,False
66,8,2026-10-24,2026-10-24T18:45:00Z,3,12,,,,,False
67,8,2026-10-25,2026-10-25T14:00:00Z,16,14,,,,,False
68,8,2026-10-25,2026-10-25T16:15:00Z,13,8,,,,,False
69,8,2026-10-25,2026-10-25T16:15:00Z,4,5,,,,,False
70,8,2026-10-25,2026-10-25T16:15:00Z,1,15,,,,,False
71,8,2026-10-25,2026-10-25T16:15:00Z,17,2,,,,,False
72,8,2026-10-25,2026-10-25T19:45:00Z,18,10,,,,,False
73,9,2026-10-30,2026-10-30T18:00:00Z,15,18,,,,,False
74,9,2026-10-30,2026-10-30T20:05:00Z,14,3,,,,,False
75,9,2026-10-31,2026-10-31T16:15:00Z,7,17,,,,,False
76,9,2026-10-31,2026-10-31T19:45:00Z,8,6,,,,,False
77,9,2026-10-31,2026-10-31T19:45:00Z,10,13,,,,,False
78,9,2026-10-31,2026-10-31T19:45:00Z,11,5,,,,,False
79,9,2026-11-01,2026-11-01T14:00:00Z,2,4,,,,,False
80,9,2026-11-01,2026-11-01T16:15:00Z,12,16,,,,,False
81,9,2026-11-01,2026-11-01T19:45:00Z,1,9,,,,,False
82,10,2026-11-06,2026-11-06T19:45:00Z,9,2,,,,,False
83,10,2026-11-07,2026-11-07T16:15:00Z,4,12,,,,,False
84,10,2026-11-07,2026-11-07T19:45:00Z,18,11,,,,,False
85,10,2026-11-08,2026-11-08T14:00:00Z,17,14,,,,,False
86,10,2026-11-08,2026-11-08T16:15:00Z,13,7,,,,,False
87,10,2026-11-08,2026-11-08T16:15:00Z,6,10,,,,,False
88,10,2026-11-08,2026-11-08T16:15:00Z,15,8,,,,,False
89,10,2026-11-08,2026-11-08T16:15:00Z,5,16,,,,,False
90,10,2026-11-08,2026-11-08T19:45:00Z,3,1,,,,,False
91,11,2026-11-20,2026-11-20T19:45:00Z,11,15,,,,,False
92,11,2026-11-21,2026-11-21T16:15:00Z,7,18,,,,,False
93,11,2026-11-21,2026-11-21T19:45:00Z,3,9,,,,,False
94,11,2026-11-21,2026-11-21T19:45:00Z,14,10,,,,,False
95,11,2026-11-21,2026-11-21T19:45:00Z,16,4,,,,,False
96,11,2026-11-21,2026-11-21T19:45:00Z,2,6,,,,,False
97,11,2026-11-22,2026-11-22T14:00:00Z,12,13,,,,,False
98,11,2026-11-22,2026-11-22T16:15:00Z,8,17,,,,,False
99,11,2026-11-22,2026-11-22T19:45:00Z,1,5,,,,,False
100,12,2026-11-27,2026-11-27T19:45:00Z,6,12,,,,,False
101,12,2026-11-28,2026-11-28T16:15:00Z,13,3,,,,,False
102,12,2026-11-28,2026-11-28T19:45:00Z,15,2,,,,,False
103,12,2026-11-28,2026-11-28T19:45:00Z,5,14,,,,,False
104,12,2026-11-28,2026-11-28T19:45:00Z,7,11,,,,,False
105,12,2026-11-28,2026-11-28T19:45:00Z,18,8,,,,,False
106,12,2026-11-29,2026-11-29T14:00:00Z,4,1,,,,,False
107,12,2026-11-29,2026-11-29T16:15:00Z,9,17,,,,,False
108,12,2026-11-29,2026-11-29T19:45:00Z,10,16,,,,,False
109,13,2026-12-04,2026-12-04T23:00:00Z,3,15,,,,,False
110,13,2026-12-04,2026-12-04T23:00:00Z,14,4,,,,,False
111,13,2026-12-04,2026-12-04T23:00:00Z,1,7,,,,,False
112,13,2026-12-04,2026-12-04T23:00:00Z,16,13,,,,,False
113,13,2026-12-04,2026-12-04T23:00:00Z,12,5,,,,,False
114,13,2026-12-04,2026-12-04T23:00:00Z,17,6,,,,,False
115,13,2026-12-04,2026-12-04T23:00:00Z,2,8,,,,,False
116,13,2026-12-04,2026-12-04T23:00:00Z,9,18,,,,,False
117,13,2026-12-04,2026-12-04T23:00:00Z,11,10,,,,,False
118,14,2026-12-11,2026-12-11T23:00:00Z,13,2,,,,,False
119,14,2026-12-11,2026-12-11T23:00:00Z,4,9,,,,,False
120,14,2026-12-11,2026-12-11T23:00:00Z,6,11,,,,,False
121,14,2026-12-11,2026-12-11T23:00:00Z,15,5,,,,,False
122,14,2026-12-11,2026-12-11T23:00:00Z,8,14,,,,,False
123,14,2026-12-11,2026-12-11T23:00:00Z,10,1,,,,,False
124,14,2026-12-11,2026-12-11T23:00:00Z,7,3,,,,,False
125,14,2026-12-11,2026-12-11T23:00:00Z,18,12,,,,,False
126,14,2026-12-11,2026-12-11T23:00:00Z,17,16,,,,,False
127,15,2027-01-01,2027-01-01T23:00:00Z,6,1,,,,,False
128,15,2027-01-01,2027-01-01T23:00:00Z,5,10,,,,,False
129,15,2027-01-01,2027-01-01T23:00:00Z,3,18,,,,,False
130,15,2027-01-01,2027-01-01T23:00:00Z,14,2,,,,,False
131,15,2027-01-01,2027-01-01T23:00:00Z,8,4,,,,,False
132,15,2027-01-01,2027-01-01T23:00:00Z,16,7,,,,,False
133,15,2027-01-01,2027-01-01T23:00:00Z,12,15,,,,,False
134,15,2027-01-01,2027-01-01T23:00:00Z,9,13,,,,,False
135,15,2027-01-01,2027-01-01T23:00:00Z,11,17,,,,,False
136,16,2027-01-15,2027-01-15T23:00:00Z,13,18,,,,,False
137,16,2027-01-15,2027-01-15T23:00:00Z,4,11,,,,,False
138,16,2027-01-15,2027-01-15T23:00:00Z,10,8,,,,,False
139,16,2027-01-15,2027-01-15T23:00:00Z,1,14,,,,,False
140,16,2027-01-15,2027-01-15T23:00:00Z,16,6,,,,,False
141,16,2027-01-15,2027-01-15T23:00:00Z,7,15,,,,,False
142,16,2027-01-15,2027-01-15T23:00:00Z,12,9,,,,,False
143,16,2027-01-15,2027-01-15T23:00:00Z,17,3,,,,,False
144,16,2027-01-15,2027-01-15T23:00:00Z,2,5,,,,,False
