id,team_name,code
1,St. Louis CITY SC,SLC
2,Charlotte FC,CHA
3,FC Cincinnati,CIN
4,Atlanta United,ATL
5,D.C. United,DCU
6,Philadelphia Union,PHI
7,Orlando City,ORL
8,Red Bull New York,RBN
9,Vancouver Whitecaps FC,VAN
10,Real Salt Lake,RSL
11,Austin FC,AUS
12,Minnesota United FC,MIN
13,FC Dallas,DAL
14,Toronto FC,TOR
15,Houston Dynamo FC,HOU
16,Chicago Fire FC,CHI
17,Nashville SC,NAS
18,New England Revolution,NER
19,Los Angeles Football Club,LAF
20,Inter Miami CF,INT
21,Portland Timbers,POR
22,Columbus Crew,COL
23,San Diego FC,SAN
24,CF Montréal,MON
25,San Jose Earthquakes,SJE
26,Sporting Kansas City,SKC
27,LA Galaxy,LA
28,New York City Football Club,NYC
29,Seattle Sounders FC,SEA
30,Colorado Rapids,CO1
